title,artist,image_url,image_path,inventory,date,type,technique,dimensions,subject,school,room,description
"Atlantic Codex  (Codex Atlanticus), f. 21 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-21-recto-747x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._21_recto.jpg",,c. 1478 - 1480,Drawing,,,,,Sala Federiciana,"Automated turnspits: the upper one is moved by a counterweight, the lower one by hot air."
Plato,Giovanni Antonio Piatti (1447-1480),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Antonio-Piatti-Platone-570x1024.jpg,ambrosiana_images/Plato.jpg,,1478,Sculpture,,200 × 78 cm,Heraldic icon,,22,"From Casa Piatti, in Via Piatti in the centre of Milan, this sculpture portrays the Greek philosopher Plato, whom genealogical mythology held to be the family founder (it was said that the surname “Piatti” derived from the Latin name of the philosopher “Plato”). The inscriptions that accompany the sculpture are important: the name of the Greek philosopher appears on the lunette at the top, and it returns very clearly at the base of the niche, next to the head. A long inscription along the edges of the niche gives us the name of the sculptor, who was himself a member of the Piatti family, and the date the work was made (1478). Lastly, the cartouche in the philosopher’s hand bears a text that sums up Plato’s theory of the body as the prison of the soul."
"Atlantic Codex  (Codex Atlanticus), f. 860 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-860-recto.-1024x682.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._860_recto.jpg",,c. 1478 - 1480,Drawing,,,,,Sala Federiciana,Mechanical wing activated with a special device.
"Atlantic Codex  (Codex Atlanticus), f. 858 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-858-recto-1024x662.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._858_recto.jpg",,c. 1478 - 1480,Drawing,,,,,Sala Federiciana,Mechanical wing activated by a winch; below on the right: detail of the winch.
"Atlantic Codex  (Codex Atlanticus), f. 49 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-49-recto-720x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._49_recto.jpg",,c. 1479 - 1480,Drawing,,,,,Sala Federiciana,"Siege machine equipped  with a mobile, covered bridge to get over moulds and walls; three wheeled cart to transport a bombard."
"Atlantic Codex  (Codex Atlanticus), f. 26 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-26-verso-1024x755.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._26_verso.jpg",,c. 1480 - 1482,Drawing,,,,,Sala Federiciana,On the left: water lifting machine; on the right: machine to pump water from a well inside a building
"Atlantic Codex  (Codex Atlanticus), f. 1069 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-1069-recto-1024x734.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._1069_recto.jpg",,c. 1480 - 1482,Drawing,,,,,Sala Federiciana,"On the left: a pipe with a float to breathe underwater; machines to lift, pump and gather water; on top right: two huge cochleas to draw water from a river to two towers, below on the right: a bucket with a syphon."
"Atlantic Codex  (Codex Atlanticus), f. 139 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-139-recto-857x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._139_recto.jpg",,c. 1480 - 1482,Drawing,,,,,Sala Federiciana,"In the centre: siege machine to defend a fortification; above, on the right: details of the machine."
"Atlantic Codex  (Codex Atlanticus), f. 5 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-5-recto-688x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._5_recto.jpg",,c. 1480 - 1482,Drawing,,,,,Sala Federiciana,In the centre a bellows activated hydraulic pump; on the right: a man drawing an armillary sphere using a perspectograph.
Portrait of a Musician,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leonardo-da-Vinci-Ritratto-di-musico-780x1024.jpg,ambrosiana_images/Portrait_of_a_Musician.jpg,,c. 1485,Painting,,"44,7 × 32 cm",Portrait,,Sala Federiciana,"The only painting on panel by Leonardo to have remained in Milan, this portrait was traditionally thought to depict Ludovico il Moro, Duke of Milan. In 1905, when restoration work removed the overpainting and uncovered the hand with a musical scroll in the lower part, it was suggested that this was the portrait of a Musician, at times identified as Franchino Gaffurio, chapel Master of the Duomo of Milan and others the Franco Flemish singer and composer Josquin des Prez, both of whom worked in Milan at the time of Leonardo and Ludovico il Moro. Recently it has also been suggested that it is a portrait of Atalante Migliorotti, a Tuscan musician who was a friend of Leonardo and who came with him to the Duke’s court in Milan as a singer and talented lyrist."
Sacra Conversazione,Ambrogio da Fossano detto il Bergognone (1453-1523),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ambrogio-da-Fossano-detto-il-Bergognone-Sacra-Conversazione-1-766x1024.jpg,ambrosiana_images/Sacra_Conversazione.jpg,,c. 1485,Painting,,242 × 182 cm,Sacred art,,2,"Literally a “holy conversation”, a Sacra Conversazione is a representation of the Virgin and Child enthroned, surrounded by a number of saints, as we see in this majestic panel, which was originally in the church of Sant’Epifanio in Pavia. It was later taken to the more famous San Pietro in Ciel d’Oro, also in Pavia, and eventually came to the Ambrosiana in 1777. The Virgin is seated on a high throne with the Child on her lap, blessing the donor, who commissioned the painting and who is seen kneeling with cap in hand as a mark of respect: this is the pronotary Gerolamo Calagrani, shown in ecclesiastic attire. Behind him, on the left there are Saint Jerome, Saint Augustine, Saint Ambrose and Saint Gregory the Great. The second group of saints form a crowd on the right: Saint Epiphanius, Saint Liberata, Saint Luminosa and Saint Speciosa."
"Atlantic Codex  (Codex Atlanticus), f. 873 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-873-recto-793x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._873_recto.jpg",,c. 1485 - 1487,Drawing,,,,,Sala Federiciana,Drawings of mechanical wings activated with the combined force of arms and legs.
"Atlantic Codex  (Codex Atlanticus), f. 33 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-33-recto-1024x572.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._33_recto.jpg",,c. 1485,Drawing,,,,,Sala Federiciana,Drawing of cannons shooting explosive bombs.
"Atlantic Codex  (Codex Atlanticus), f. 909 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-909-verso-794x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._909_verso.jpg",,c. 1485 - 1487,Drawing,,,,,Sala Federiciana,Sketches of naval battles; equipment for a surface-supplied diver.
"Atlantic Codex  (Codex Atlanticus), f. 145 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-foglio-145-recto-1024x591.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._145_recto.jpg",,c. 1485,Drawing,,,,,Sala Federiciana,Huge sling to throw stones.
"Atlantic Codex  (Codex Atlanticus), f. 149 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-149-recto-659x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._149_recto.jpg",,c. 1485 - 1492,Drawing,,,,,Sala Federiciana,On the upper sheet: various types of weapons. On the lower sheet: drawing of a giant crossbow.
The Adoration,Bartolomeo Suardi detto il Bramantino (1465-1530),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bartolomeo-Suardi-detto-il-Bramantino-Adorazione-del-Bambino-1016x1024.jpg,ambrosiana_images/The_Adoration.jpg,,c. 1485,Painting,,86 × 85 cm,Sacred art,,3,"Bramantino was aged just twenty when he painted this panel, but he had already acquired the ability to create works that were highly complex in terms of their symbolism. The figures we see are clearly divided into two groups: a group of musicians, who are apterous (wingless) angels, are playing instruments reproduced very faithfully, though without strings. In the group of worshippers, we can see on our left a figure – the only one, with the exception of the angels – who is not looking straight at the Child, but rather at the woman in the foreground on the right. In the past, various scholars suggested three different identities for this person – Emperor Augustus, the poet Virgil and the god Apollo. Here we believe that it is, without any doubt, Apollo. He is identified by a laurel wreath and his long, characteristic torch, which precisely reproduces the many examples that are shown in Greek and Roman artefacts. This Apollo, now old and ugly, leans on his extinguished torch under a dead branch, which symbolises the end of paganism. However, the way he looks at the woman standing in the foreground on the right, who is quite probably a sibyl, and who is in turn looking at the Child, appears to be an invitation to consider the classical age as a good and necessary preparation for the age of Christ. This was a common idea already in the Middle Ages, and it is no coincidence that it is a classical-style arch that forms the backdrop for the scene. The work also contains an important Mariological aspect, for close observation of the geometry of the composition shows how the Virgin and Child are perfectly inscribed within an isosceles triangle, thus symbolising a particular theological doctrine, which is that of the Immaculate Conception of Mary, according to which the Mother of God was preserved from original sin. This might also be confirmed by two further aspects: one is the presence of Saint Francis (identified by his stigmata) and Saint Bernardino of Siena, for it is known that the Franciscans maintained this theological aspect in their preaching. The other is the presence of Salome behind the Madonna, next to Joseph. She is identified by her shrivelled hand, which she received as a midwife for not believing in the virgin birth, as we are told in the apocryphal Gospel of James (the presence of this figure in a Nativity has a precedent in the one made by Robert Campin in 1425, now in the Musée des Beaux Arts in Dijon). The painless delivery of Mary is a sign that she is free from the curse on Eve for having committed the original sin (“in sorrow shalt thou bring forth children”, according to the Book of Genesis). Lastly, it should be noted how the decoration on the capital on the pilaster of the arch recalls that of the capitals on the pilasters in the church of Santa Maria presso San Satiro, which was built by Bramante, and thus a clear tribute by Bramantino to his illustrious master."
"Atlantic Codex  (Codex Atlanticus), f. 1058 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-1058-verso-762x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._1058_verso.jpg",,c. 1487 - 1490,Drawing,,,,,Sala Federiciana,Studies on aerodynamics and studies on artificial flight; on the upper part: a parachute; on the lower part: darwings of a mechanical wing.
"Atlantic Codex  (Codex Atlanticus), f. 719 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-719-recto-728x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._719_recto.jpg",,c. 1487 - 1490,Drawing,,,,,Sala Federiciana,Sketches of centerings and compound beams; on the left and below on the right: grotesque profiles; below: architectural sketches for the tiburio of the Duomo.
Atlantic Codex (Codex Atlanticus) f. 851 recto,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-851-recto-852x1024.jpg,ambrosiana_images/Atlantic_Codex_(Codex_Atlanticus)_f._851_recto.jpg,,c. 1487 - 1490,Drawing,,,,,Sala Federiciana,Section of the tiburio of the Duomo. The drawing shows the typical spolvero holes.
The Madonna of the Pavilion,Sandro Botticelli (Alessandro di Mariano Filipepi detto) (1444 o 1445-1510),https://ambrosiana.it/wp-content/uploads/2018/10/Ambrosiana-Madonna-del-padiglione-Sandro-Botticelli-809x1024.jpg,ambrosiana_images/The_Madonna_of_the_Pavilion.jpg,,c. 1490,Painting,,65 cm,Sacred art,,2,"This splendid tondo by Sandro Botticelli, made with the tip of the brush with the precision of a miniaturist, portrays an apparently conventional religious theme (the Virgin and Child), but it is actually laden with symbolism. The splendid “pavilion” or tent, is one of the most important Biblical symbols in both the Old Testament (the “tent of meeting” as the place of the presence of God) and in the New Testament (in the Gospel of John, to summarise the mystery of the incarnation, we read that “And the Word was made flesh, and dwelt among us”, in which the original literally means “dwelt as in a tent”). The two angels who open the “tent” thus reveal the mystery of the incarnation: the Son of God, who has become a child, born of the Virgin Mother."
Portrait of a Lady,Giovanni Ambrogio De Predis (1455-1508),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Ambrogio-De-Predis-Ritratto-di-dama-663x1024.jpg,ambrosiana_images/Portrait_of_a_Lady.jpg,,c. 1490,Painting,,51 × 34 cm,Portrait,,Aula Leonardi,"The first time Leonardo da Vinci’s name resounded in the Ambrosiana, it was through the pen of its founder, Cardinal Federico Borromeo, who attributed this little panel to the great Master, describing it as “A portrait of a Duchess of Milan, by the hand of Leonardo”. Following the Cardinal’s statement, the portrait was for long assumed to depict Beatrice d’Este, the wife of Ludovico il Moro. However, scholars have recently been more cautious and vague in their statements, with regard to both the artist (anonymous Lombard or Emilian painter) and the and the identity of the young lady. These controversies never diminished the work’s appeal, but just increased its mystery."
"Atlantic Codex  (Codex Atlanticus), f. 1006 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-1006-verso-741x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._1006_verso.jpg",,c. 1490 - 1495,Drawing,,,,,Sala Federiciana,"Map of Europe (with the names of the regions or with letters referring to the lists next to the drawing); on the right of the drawing, map of the Iberic paeninsula; on the right, sketch of a little flying machine placed on a ladder, little figure of pilot; below: two wheels and a cylinder, activated by a handle."
The Dormition of the Virgin,Anonimo ferrarese (XV secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-ferrarese-Transito-della-Vergine-1024x717.jpg,ambrosiana_images/The_Dormition_of_the_Virgin.jpg,,c. 1490,Painting,,158 × 230 cm,Sacred art,,2,"This panel, attributed to the so-called “Master of the Dormitio Virginis Massari”, who worked in Ferrara in the late fifteenth century, shows the Virgin sleeping the sleep of death (the origin of the traditional term “dormition”) and her assumption into glory, as narrated in the Apocryphal Gospels and adopted into the tradition of the Eastern Churches."
"Atlantic Codex  (Codex Atlanticus), f. 844 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-844-recto-778x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._844_recto.jpg",,c. 1493 - 1494,Drawing,,,,,Sala Federiciana,Details of a mechanical wing; cryptographic notes with inverted ortographic order ‘elitalou’ = volatile i.e. “bird”.
"Atlantic Codex  (Codex Atlanticus), f. 29 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-29-recto-1024x751.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._29_recto.jpg",,c. 1493 - 1495,Drawing,,,,,Sala Federiciana,Machine to produce gold foil.
De divina proportione,Luca Pacioli (1445 circa – 1517),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Luca-Pacioli-La-divina-proporzione-De-divina-proportione-724x1024.jpg,ambrosiana_images/De_divina_proportione.jpg,,1498,,,,,,Non esposta,"The Franciscan Friar and mathematician Luca Pacioli (Borgo San Sepolcro c. 1445 – Venice 1514 or 1517) is famous mainly for his treatise De divina proportione, of which only two handwritten copies survive: one in the Bibliothèque Publique et Universitaire in Geneva, and the copy in the Biblioteca Ambrosiana, which is con­sidered the better one.
The Ambrosiana manuscript is a codex on parchment with 130 folios in elegant humanistic script, and bears the date 14 December 1498. It was donated to the library in 1637 by Marquis Galeazzo Arconati, along with other Leonardo manuscripts including the renowned Codex Atlanticus.
As the title indicates, the main subject of the treatise is the study of the golden section, where a segment ( a-b) can be divided into un­ equal parts ( a-e and c-b) so that the whole is to the greater part as that part is to the smaller part ( a-b : a-e = a-e : c-b ).
The mathematicians of antiquity and the Greek philosophers were already fascinated by this curious ratio, which appeared to re­flect perfection and divine harmony: hence the use of the adjec­tive “divine” to describe the “proportion” governing this unique re­lationship.
Leonardo da Vinci, who met Luca Pacioli at the court of Ludovico il Moro in Milan in the late fifteenth century, has left visi­ble proof of how applying the golden section to solid geometry could become an opportunity for the creation of a splendid work of art. In fact, the mathematician monk directly commissioned from the Florentine great master a series of drawings of sixty solids, construct­ed on the basis of the golden section and painted in watercolours, and the result, thanks to the interplay of perspective and colours, was a fascinating series of geometric figures united by the common idea of perfection.
Each drawing becomes a true watercolour painting. The solid is shown, in compliance with the laws of gravity, hanging from a scroll, which identifies it by its Latin title (in other words specifies which solid it is and what its characteristics are). Underneath the drawing and watercolour of the solid in question is an inscription with the title in Ancient Greek, the language of the early mathe­maticians and the great philosophers. We begin with the sphere and end with the amazing polyhedron with seventy-two faces, passing through all the possible and imaginable variations on the way.
The final overall effect is of a “gallery” of images, almost un­earthly in their perfection."
Latin astrolabe,Anonymous,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Sconosciuto-Orologio-con-Astrolabio-798x1024.jpg,ambrosiana_images/Latin_astrolabe.jpg,,1500,Object,,24.7 cm,,,8,"An astrolabe is an ancient instrument used to locate the position of celestial bodies (sun, moon and stars): it represents the celestial vault projected on a plane. Astrolabes were used until the 17th century, when more precise astronomical instruments were introduced. However, they were included in scientific collections as a sign of cultural refinement. This astrolabe, dating from 1500, could determine the position of thirty eight stars."
